tipo_evento,departamento,codigo_dane_departamento,municipio,codigo_dane_municipio,a_o,mes,evento,tipo_lugar,tipo_area,latitud_cabecera,longitud_cabecera,sitio,geocoded_column
Desminado militar en operaciones,NORTE DE SANTANDER,54,HACARÍ,54344,2019,2,Incidente,Sin informacion,Rural,8.40722222222222,-73.0988888888889,LA ESTACION,"{'type': 'Point', 'coordinates': [-73.0988888888889, 8.40722222222222]}"
Desminado militar en operaciones,NORTE DE SANTANDER,54,HACARÍ,54344,2019,2,Incidente,Sin informacion,Rural,8.40722222222222,-73.0988888888889,LA ESTACION,"{'type': 'Point', 'coordinates': [-73.0988888888889, 8.40722222222222]}"
Desminado militar en operaciones,BOLIVAR,13,MORALES,13473,2019,2,Incidente,Sin informacion,Rural,8.36194444444444,-74.0302777777778,MICOAHUMADO,"{'type': 'Point', 'coordinates': [-74.0302777777778, 8.36194444444444]}"
Desminado militar en operaciones,ANTIOQUIA,5,TARAZÁ,5790,2019,3,Incidente,Sin informacion,Rural,7.51361111111111,-75.4969444444445,POPALES,"{'type': 'Point', 'coordinates': [-75.4969444444445, 7.51361111111111]}"
Desminado militar en operaciones,ARAUCA,81,FORTUL,81300,2019,4,Incidente,Sin informacion,Rural,6.80055555555556,-71.7494444444445,PALO DE AGUA,"{'type': 'Point', 'coordinates': [-71.7494444444445, 6.80055555555556]}"
Desminado militar en operaciones,ANTIOQUIA,5,CÁCERES,5120,2019,4,Incidente,Sin informacion,Rural,7.58472222222222,-75.2077777777778,EL TIGRE,"{'type': 'Point', 'coordinates': [-75.2077777777778, 7.58472222222222]}"
Desminado militar en operaciones,VICHADA,99,CUMARIBO,99773,2019,5,Incidente,Sin informacion,Rural,3.9075,-70.5708333299999,LA PROFUNDA,"{'type': 'Point', 'coordinates': [-70.5708333299999, 3.9075]}"
Desminado militar en operaciones,ARAUCA,81,FORTUL,81300,2019,5,Incidente,Sin informacion,Rural,6.792924,-71.770658,FLECHAS,"{'type': 'Point', 'coordinates': [-71.770658, 6.792924]}"
Desminado militar en operaciones,ARAUCA,81,ARAUQUITA,81065,2019,6,Incidente,Sin informacion,Rural,6.59083333,-71.25583333,EL CESAR,"{'type': 'Point', 'coordinates': [-71.25583333, 6.59083333]}"
Desminado militar en operaciones,NARIÑO,52,BARBACOAS,52079,2019,6,Incidente,Sin informacion,Rural,1.24361111,-78.45388889,LA TURBIA,"{'type': 'Point', 'coordinates': [-78.45388889, 1.24361111]}"
Desminado militar en operaciones,NARIÑO,52,TUMACO,52835,2019,6,Incidente,Sin informacion,Rural,1.39555556,-78.66027778,ZAPOTAL,"{'type': 'Point', 'coordinates': [-78.66027778, 1.39555556]}"
Accidente por MAP,PUTUMAYO,86,PUERTO ASÍS,86568,2019,6,Accidente,Sin informacion,Rural,0.638611111111111,-76.3238888888889,VEREDA VEGAS DEL PIÑUÑA BLANCO,"{'type': 'Point', 'coordinates': [-76.3238888888889, 0.638611111111111]}"
Desminado militar en operaciones,GUAVIARE,95,CALAMAR,95015,2019,7,Incidente,Sin informacion,Rural,1.943611,-72.651667,LA ESPERANZA,"{'type': 'Point', 'coordinates': [-72.651667, 1.943611]}"
Desminado militar en operaciones,NARIÑO,52,MAGÜÍ,52427,2019,7,Incidente,Sin informacion,Rural,1.904722,-78.005833,PUEBLO NUEVO,"{'type': 'Point', 'coordinates': [-78.005833, 1.904722]}"
Desminado militar en operaciones,GUAVIARE,95,EL RETORNO,95025,2019,8,Incidente,Sin informacion,Rural,2.017222,-72.091944,SALTO GLORIA,"{'type': 'Point', 'coordinates': [-72.091944, 2.017222]}"
Desminado militar en operaciones,NARIÑO,52,TUMACO,52835,2019,9,Incidente,Sin informacion,Rural,1.37,-78.63388889,EL BOMBO,"{'type': 'Point', 'coordinates': [-78.63388889, 1.37]}"
Desminado militar en operaciones,CESAR,20,CHIRIGUANÁ,20178,2019,9,Incidente,Sin informacion,Rural,9.35444444,-73.48666667,RINCÓN HONDO,"{'type': 'Point', 'coordinates': [-73.48666667, 9.35444444]}"
Desminado militar en operaciones,ANTIOQUIA,5,VALDIVIA,5854,2019,11,Incidente,Sin informacion,Rural,7.333611,-75.308056,LA ALEMANIA,"{'type': 'Point', 'coordinates': [-75.308056, 7.333611]}"
Desminado militar en operaciones,TOLIMA,73,PLANADAS,73555,2013,7,Incidente,Sin informacion,Rural,3.0138888889,-75.69722222,Vereda Rio Claro,"{'type': 'Point', 'coordinates': [-75.69722222, 3.0138888889]}"
Desminado militar en operaciones,META,50,URIBE,50370,2010,1,Incidente,Sin informacion,Rural,3.240915,-74.354381,Vereda Picachos,"{'type': 'Point', 'coordinates': [-74.354381, 3.240915]}"
Desminado militar en operaciones,NARIÑO,52,TUMACO,52835,2020,1,Incidente,Sin informacion,Rural,1.450833,-78.680556,PALO SECO,"{'type': 'Point', 'coordinates': [-78.680556, 1.450833]}"
Accidente por MAP,CAUCA,19,BUENOS AIRES,19110,2020,1,Accidente,Campo,Rural,3.09515,-76.748927,CORREGIMIENTO EL CERAL,"{'type': 'Point', 'coordinates': [-76.748927, 3.09515]}"
Accidente por MAP,NORTE DE SANTANDER,54,ÁBREGO,54003,2020,3,Accidente,Sin informacion,Rural,8.23333333333333,-73.0316666666667,EL MOTILON,"{'type': 'Point', 'coordinates': [-73.0316666666667, 8.23333333333333]}"
